country,capture,aquaculture,total,region,iso3c,peru_or_chile
Turkmenistan,15000,30,15030,Central Asia,TKM,FALSE
Bahrain,15000,6,15006,Western Asia,BHR,FALSE
Liberia,14700,40,14740,Western Africa,LBR,FALSE
Qatar,14516,10,14526,Western Asia,QAT,FALSE
Brunei,13292,948,14240,South-Eastern Asia,BRN,FALSE
Trinidad and Tobago,13027,11,13038,Caribbean,TTO,FALSE
Moldova,50,16011,12061,Eastern Europe,MDA,FALSE
Belarus,686,11199,11885,Eastern Europe,BLR,FALSE
São Tomé and Príncipe,11750,0,11750,Middle Africa,STP,FALSE
Bahamas,11625,8,11633,Caribbean,BHS,FALSE
Bolivia,7000,3000,10000,South America,BOL,FALSE
Serbia,2067,6878,8945,Southern Europe,SRB,FALSE
Albania,7886,950,8836,Southern Europe,ALB,FALSE
Samoa,8801,10,8811,Polynesia,WSM,FALSE
Malta,2420,6073,8493,Southern Europe,MLT,FALSE
Cyprus,1507,6625,8132,Western Asia,CYP,FALSE
Equatorial Guinea,8000,15,8015,Middle Africa,GNQ,FALSE
Tuvalu,7684,3,7687,Polynesia,TUV,FALSE
Singapore,1234,6112,7346,South-Eastern Asia,SGP,FALSE
Isle of Man,7040,0,7040,Northern Europe,IMN,FALSE
Syria,4500,3500,7000,Western Asia,SYR,FALSE
Guinea-Bissau,6700,0,6700,Western Africa,GNB,FALSE
Kuwait,5493,196,5689,Western Asia,KWT,FALSE
New Caledonia,3815,1587,5402,Melanesia,NCL,FALSE
Lebanon,4291,1015,5306,Western Asia,LBN,FALSE
Bosnia and Herzegovina,305,4564,4869,Southern Europe,BIH,FALSE
Timor-Leste,3200,1560,4760,South-Eastern Asia,TLS,FALSE
Jersey and  Guernsey,2985,1499,4483,NA,NA,FALSE
Eritrea,4300,0,4300,Eastern Africa,ERI,FALSE
Slovakia,1866,2169,4035,Eastern Europe,SVK,FALSE
Austria,350,3483,3833,Western Europe,AUT,FALSE
Palestine,3306,280,3586,Western Asia,PSE,FALSE
Switzerland,1851,1733,3584,Western Europe,CHE,FALSE
American Samoa,3047,20,3067,Polynesia,ASM,FALSE
Antigua and Barbuda,3000,10,3010,Caribbean,ATG,FALSE
Turks and Caicos Islands,2780,0,2780,Caribbean,TCA,FALSE
Grenada,2550,0,2550,Caribbean,GRD,FALSE
Montenegro,1595,929,2524,Southern Europe,MNE,FALSE
Djibouti,2220,0,2220,Eastern Africa,DJI,FALSE
Afghanistan,1000,1200,2200,Southern Asia,AFG,FALSE
Slovenia,311,1844,2154,Southern Europe,SVN,FALSE
Saint Lucia,2097,32,2129,Caribbean,LCA,FALSE
Kyrgyzstan,89,1931,2020,Central Asia,KGZ,FALSE
Puerto Rico,1901,20,1921,Caribbean,PRI,FALSE
Barbados,1735,26,1761,Caribbean,BRB,FALSE
Jordan,873,885,1758,Western Asia,JOR,FALSE
Tonga,1697,3,1700,Polynesia,TON,FALSE
Tajikistan,1100,450,1550,Central Asia,TJK,FALSE
Guam,1391,110,1501,Micronesia,GUM,FALSE
Macao,1500,0,1500,Eastern Asia,MAC,FALSE
Azerbaijan,676,640,1316,Western Asia,AZE,FALSE
North Macedonia,306,986,1292,Southern Europe,MKD,FALSE
British Virgin Islands,1200,0,1200,Caribbean,VGB,FALSE
Lesotho,52,1050,1102,Southern Africa,LSO,FALSE
Northern Mariana Islands,950,42,992,Micronesia,MNP,FALSE
Palau,818,23,841,Micronesia,PLW,FALSE
Dominica,770,6,776,Caribbean,DMA,FALSE
US Virgin Islands,551,8,559,Caribbean,VIR,FALSE
Nauru,530,0,530,Micronesia,NRU,FALSE
Bermuda,410,0,410,Northern America,BMU,FALSE
Sint Maarten,253,0,253,Caribbean,SXM,FALSE
Eswatini,65,100,165,NA,NA,FALSE
Bhutan,7,150,157,Southern Asia,BTN,FALSE
Aruba,142,0,142,Caribbean,ABW,FALSE
Cayman Islands,125,0,125,Caribbean,CYM,FALSE
France,90,0,90,Western Europe,FRA,FALSE
Botswana,38,15,53,Southern Africa,BWA,FALSE
Mongolia,15,0,15,Eastern Asia,MNG,FALSE
Monaco,1,0,1,Western Europe,MCO,FALSE
Gibraltar,1,0,1,Southern Europe,GIB,FALSE
Andorra,0,0,0,Southern Europe,AND,FALSE
Liechtenstein,0,0,0,Western Europe,LIE,FALSE
Luxembourg,0,0,0,Western Europe,LUX,FALSE
San Marino,0,0,0,Southern Europe,SMR,FALSE
